,Title,Worldwide_Lifetime_Gross,Domestic_Lifetime_Gross,Domestic_Percentage,Foreign_Lifetime_Gross,Foreign_Lifetime_Percentage,Year,IMDB_ID,Belongs_To_Collection,Budget,Genres,Original_Language,Popularity,Release_date,Runtime,Production_Company
514,What Lies Beneath,291420351,155464351,53.4%,135956000,46.6%,2000,tt0161081,No Collection,100000000,'Drama',en,11.597999999999999,2000-07-21,130.0,Legendary Entertainment
515,Pacific Rim: Uprising,290930148,59874525,20.6%,231055623,79.4%,2018,tt2557478,363369,150000000,'Action',en,30.572,2018-03-21,111.0,Universal Pictures
516,The Bourne Supremacy,290835269,176241941,60.6%,114593328,39.4%,2004,tt0372183,31562,75000000,'Action',en,17.66,2004-07-23,108.0,Village Roadshow
517,Sex and the City 2,290745055,95347692,32.8%,195397363,67.2%,2010,tt1261945,50457,100000000,'Comedy',en,15.51,2010-05-26,146.0,Universal Pictures
518,Shakespeare in Love,289317794,100317794,34.7%,189000000,65.3%,1998,tt0138097,No Collection,25000000,'History',en,13.841,1998-01-29,122.0,Summit Entertainment
519,Divergent,288885818,150947895,52.2%,137937923,47.8%,2014,tt1840309,283579,85000000,'Action',en,27.915,2014-03-14,139.0,Eddie Murphy
520,Coming to America,288752301,128152301,44.4%,160600000,55.6%,1988,tt0094898,647077,39000000,'Comedy',en,14.087,1988-06-29,116.0,Avery Pix
521,Wedding Crashers,288467645,209255921,72.5%,79211724,27.5%,2005,tt0396269,No Collection,40000000,'Comedy',en,19.831,2005-07-13,119.0,Apatow Productions
522,Bridesmaids,288383523,169106725,58.6%,119276798,41.4%,2011,tt1478338,No Collection,32500000,'Comedy',en,12.757,2011-05-13,125.0,Gotham Group
523,Maze Runner: The Death Cure,288175335,58032443,20.1%,230142892,79.9%,2018,tt4500922,295130,62000000,'Action',en,21.338,2018-01-10,144.0,The Harvey
524,Casper,287928194,100328194,34.8%,187600000,65.2%,1995,tt0112642,8819,50000000,'Fantasy',en,17.935,1995-05-26,100.0,Universal Pictures
525,American Pie 2,287553595,145103595,50.5%,142450000,49.5%,2001,tt0252866,2806,30000000,'Comedy',en,18.863,2001-08-10,108.0,Universal Pictures
526,Pitch Perfect 2,287144079,184296230,64.2%,102847849,35.8%,2015,tt2848292,698638,29000000,'Comedy',en,26.951,2015-05-07,115.0,Castle Rock
527,The Green Mile,286801374,136801374,47.7%,150000000,52.3%,1999,tt0120689,No Collection,60000000,'Fantasy',en,27.39,1999-12-10,189.0,Universal Pictures
528,Oblivion,286168572,89107235,31.1%,197061337,68.9%,2013,tt1483013,No Collection,120000000,'Action',en,24.131999999999998,2013-04-10,124.0,Genre Films
529,Elysium,286140700,93050117,32.5%,193090583,67.5%,2013,tt1535108,No Collection,115000000,'Science,en,23.943,2013-08-07,109.0,Silver Pictures
530,Lethal Weapon 4,285444603,130444603,45.7%,155000000,54.3%,1998,tt0122151,945,140000000,'Action',en,11.312000000000001,1998-07-10,127.0,Walt Disney
531,John Carter,284139100,73078100,25.7%,211061000,74.3%,2012,tt0401729,No Collection,250000000,'Action',en,22.772,2012-03-07,132.0,Heyday Films
532,Paddington,282839394,76271832,27%,206567562,73%,2014,tt1109624,488924,55000000,'Comedy',en,12.507,2014-11-24,96.0,DreamWorks Animation
533,Turbo,282570682,83028128,29.4%,199542554,70.6%,2013,tt1860353,No Collection,135000000,'Animation',en,15.92,2013-07-11,96.0,Miramax
534,Bridget Jones's Diary,281929795,71543427,25.4%,210386368,74.6%,2001,tt0243155,8936,25000000,'Comedy',en,20.56,2001-04-13,97.0,Columbia Pictures
535,The Tourist,278780441,67631157,24.3%,211149284,75.7%,2010,tt1243957,No Collection,100000000,'Action',en,20.282,2010-12-08,103.0,Universal Pictures
536,Split,278454358,138291365,49.7%,140162993,50.3%,2017,tt4972582,No Collection,9000000,'Horror',en,28.515,2017-01-19,117.0,Brad Grey
537,Scary Movie,278019771,157019771,56.5%,121000000,43.5%,2000,tt0175142,4246,19000000,'Comedy',en,20.748,2000-07-07,88.0,Columbia Pictures
538,xXx,277448382,142109382,51.2%,135339000,48.8%,2002,tt0295701,52785,70000000,'Action',en,11.232000000000001,2002-08-09,124.0,Universal Pictures
539,The Bourne Legacy,276144750,113203870,41%,162940880,59%,2012,tt1194173,31562,130000000,'Action',en,19.093,2012-08-08,135.0,Pacific Data
540,Mr. Peabody & Sherman,275698039,111506430,40.4%,164191609,59.6%,2014,tt0864835,No Collection,145000000,'Animation',en,15.93,2014-02-07,92.0,Atlas Entertainment
541,Scooby-Doo,275650703,153294164,55.6%,122356539,44.4%,2002,tt0267913,86860,84000000,'Mystery',en,16.921,2002-06-14,88.0,DreamWorks Pictures
542,Lincoln,275293450,182207973,66.2%,93085477,33.8%,2012,tt0443272,No Collection,65000000,'History',en,17.367,2012-11-09,149.0,Paramount
543,Lara Croft: Tomb Raider,274703340,131168070,47.8%,143535270,52.2%,2001,tt0146316,2467,115000000,'Adventure',en,24.105999999999998,2001-06-11,100.0,Square Enix
544,Tomb Raider,274650803,58250803,21.2%,216400000,78.8%,2018,tt1365519,2467,94000000,'Action',en,23.604,2018-03-05,118.0,Nimar Studios
545,The Expendables,274470394,103068524,37.6%,171401870,62.4%,2010,tt1320253,126125,80000000,'Thriller',en,24.173000000000002,2010-08-03,103.0,Sony Pictures
546,Cloudy with a Chance of Meatballs 2,274325949,119793567,43.7%,154532382,56.3%,2013,tt1985966,177467,78000000,'Animation',en,16.952,2013-09-26,95.0,Walt Disney
547,The Little Mermaid,274176364,111543479,40.7%,162632885,59.3%,1989,tt0097757,33085,40000000,'Animation',en,25.759,1989-11-17,83.0,Universal Pictures
548,The Nutty Professor,273961019,128814019,47%,145147000,53%,1996,tt0117218,86028,54000000,'Fantasy',en,15.615,1996-06-26,95.0,Gracie Films
549,Jerry Maguire,273552592,153952592,56.3%,119600000,43.7%,1996,tt0116695,No Collection,50000000,'Comedy',en,16.922,1996-12-13,139.0,Don Simpson/Jerry
550,Bad Boys II,273339556,138608444,50.7%,134731112,49.3%,2003,tt0172156,14890,130000000,'Adventure',en,21.528000000000002,2003-07-18,147.0,Walt Disney
551,Lilo & Stitch,273144151,145794338,53.4%,127349813,46.6%,2002,tt0275847,97461,80000000,'Animation',en,14.519,2002-06-21,85.0,Strong Heart/Demme
552,The Silence of the Lambs,272753884,130742922,47.9%,142010962,52.1%,1991,tt0102926,9743,19000000,'Crime',en,7.045,1991-02-01,119.0,Columbia Pictures
553,Grown Ups,271430189,162001186,59.7%,109429003,40.3%,2010,tt1375670,180546,80000000,'Comedy',en,15.677999999999999,2010-06-24,102.0,Good Universe
554,Neighbors,270665134,150157400,55.5%,120507734,44.5%,2014,tt2004420,400700,18000000,'Comedy',en,13.2,2014-05-08,96.0,Mirage Enterprises
555,The Firm,270248367,158348367,58.6%,111900000,41.4%,1993,tt0106918,No Collection,42000000,'Drama',en,13.39,1993-06-30,154.0,Vincent Newman
556,We're the Millers,269994119,150394119,55.7%,119600000,44.3%,2012,tt1723121,297923,37000000,'Comedy',en,33.917,2013-08-07,110.0,Matten Productions
557,Gran Torino,269958228,148095302,54.9%,121862926,45.1%,2008,tt1205489,No Collection,33000000,'Drama',en,22.255,2008-12-09,116.0,Centropolis Entertainment
558,"10,000 BC",269784201,94784201,35.1%,175000000,64.9%,2008,tt0443649,No Collection,105000000,'Adventure',en,15.140999999999998,2008-02-22,109.0,Film Rites
559,American Gangster,269755430,130164645,48.2%,139590785,51.8%,2007,tt0765429,No Collection,100000000,'Drama',en,17.05,2007-11-02,157.0,Blue Sky
560,Epic,268426634,107518682,40.1%,160907952,59.9%,2013,tt0848537,No Collection,100000000,'Animation',en,17.793,2013-05-15,102.0,Volcano Films
561,Exodus: Gods and Kings,268175631,65014513,24.2%,203161118,75.8%,2014,tt1528100,No Collection,140000000,'Adventure',en,24.866,2014-12-03,150.0,Walt Disney
562,Bambi,267447150,102247150,38.2%,165200000,61.8%,1942,tt0034492,87250,858000,'Animation',en,18.452,1942-08-14,70.0,Walt Disney
563,The Princess and the Frog,267045765,104400899,39.1%,162644866,60.9%,2009,tt0780521,No Collection,105000000,'Romance',en,18.935,2009-12-08,97.0,PolyGram Filmed
564,Batman Returns,266903053,162902340,61%,104000713,39%,1992,tt0103776,120794,80000000,'Action',en,24.570999999999998,1992-06-19,126.0,Original Film
565,Indecent Proposal,266614059,106614059,40%,160000000,60%,1993,tt0107211,No Collection,38000000,'Romance',en,13.599,1993-04-07,117.0,Paramount
566,Something's Gotta Give,265328738,124728738,47%,140600000,53%,2003,tt0337741,No Collection,80000000,'Drama',en,12.927,2003-12-12,128.0,Waverly Films
567,Bridget Jones: The Edge of Reason,265126918,40226215,15.2%,224900703,84.8%,2004,tt0317198,8936,40000000,'Comedy',en,13.959000000000001,2004-11-10,108.0,Miramax
568,The Incredible Hulk,264770996,134806913,50.9%,129964083,49.1%,2008,tt0800080,No Collection,150000000,'Science,en,26.693,2008-06-12,114.0,Marvel Studios
569,Waterworld,264218220,88246220,33.4%,175972000,66.6%,1995,tt0114898,No Collection,175000000,'Action',en,17.125999999999998,1995-07-28,135.0,Gordon Company
570,The Truman Show,264118201,125618201,47.6%,138500000,52.4%,1998,tt0120382,No Collection,60000000,'Comedy',en,25.194000000000003,1998-06-04,103.0,Paramount
571,Charlie's Angels,264105545,125305545,47.4%,138800000,52.6%,2000,tt0160127,86029,92000000,'Action',en,22.756999999999998,2000-11-02,98.0,Columbia Pictures
572,The Fifth Element,264029966,63820180,24.2%,200209786,75.8%,1997,tt0119116,No Collection,90000000,'Adventure',en,34.931999999999995,1997-05-02,126.0,Columbia Pictures
573,Jumanji,262821940,100499940,38.2%,162322000,61.8%,1995,tt0113497,495527,65000000,'Adventure',en,8.03,1995-12-15,104.0,TriStar Pictures
574,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,262552893,128505958,48.9%,134046935,51.1%,2006,tt0443453,No Collection,18000000,'Comedy',en,16.340999999999998,2006-11-01,84.0,Four By
575,Robots,262511490,128200012,48.8%,134311478,51.2%,2005,tt0358082,No Collection,75000000,'Animation',en,15.927999999999999,2005-03-10,91.0,Blue Sky
576,Knight and Day,261989769,76423035,29.2%,185566734,70.8%,2008,tt1013743,No Collection,117000000,'Action',en,23.869,2010-06-15,109.0,Pink Machine
577,Total Recall,261317921,119412921,45.7%,141905000,54.3%,1990,tt0100802,No Collection,65000000,'Action',en,17.61,1990-06-01,113.0,Carolco Pictures
578,This Is It,261183588,72091016,27.6%,189092572,72.4%,2009,tt1477715,No Collection,60000000,'Music',en,11.66,2009-10-28,111.0,Columbia Pictures
579,Terminator: Dark Fate,261119292,62253077,23.8%,198866215,76.2%,2019,tt6450804,528,185000000,'Action',en,42.78,2019-10-23,128.0,Lightstorm Entertainment
580,The Lone Ranger,260502115,89302115,34.3%,171200000,65.7%,2013,tt1210819,No Collection,255000000,'Action',en,23.894000000000002,2013-07-03,149.0,Silver Bullet
581,Super 8,260095986,127004179,48.8%,133091807,51.2%,2011,tt1650062,No Collection,50000000,'Thriller',en,25.253,2011-06-08,112.0,K/O Camera
582,Xun long jue,259368448,1243810,0.5%,258124638,99.5%,2015,tt4276752,683139,37000000,'Action',zh,7.14,2015-12-18,127.0,Beijing Enlight
583,Blade Runner 2049,259239658,92054159,35.5%,167185499,64.5%,2017,tt1856101,422837,150000000,'Science,en,70.584,2017-10-04,163.0,Torridon Films
584,Charlie's Angels: Full Throttle,259175788,100830111,38.9%,158345677,61.1%,2003,tt0305357,86029,120000000,'Action',en,17.879,2003-06-27,106.0,Wonderland Sound
585,Rush Hour 3,258097122,140125968,54.3%,117971154,45.7%,2007,tt0293564,90863,140000000,'Action',en,15.774000000000001,2007-08-08,91.0,New Line
586,The Full Monty,257938649,45950122,17.8%,211988527,82.2%,1997,tt0119164,No Collection,3500000,'Comedy',en,7.659,1997-08-13,91.0,Redwave Films
587,Kung Fu Yoga,257743016,362657,0.1%,257380359,99.9%,2017,tt4217392,No Collection,65000000,'Mystery',zh,11.094000000000001,2017-01-27,130.0,Shinework Media
588,Annabelle,257047661,84273813,32.8%,172773848,67.2%,2014,tt3322940,402074,6500000,'Horror',en,15.447000000000001,2014-10-02,99.0,Atomic Monster
589,The Village,256697520,114197520,44.5%,142500000,55.5%,2003,tt0368447,No Collection,60000000,'Drama',en,14.687999999999999,2004-07-30,108.0,Touchstone Pictures
590,Lost in Hong Kong,256283912,1302281,0.5%,254981631,99.5%,2015,tt4242158,680443,0,'Comedy',zh,3.739,2015-09-25,114.0,Luck Road
591,Erin Brockovich,256271286,125595205,49%,130676081,51%,2000,tt0195685,No Collection,52000000,'Drama',en,14.357999999999999,2000-03-17,131.0,Jersey Films
592,Marley & Me,255743093,143153751,56%,112589342,44%,2008,tt0822832,230532,60000000,'Comedy',en,14.508,2008-12-25,115.0,Sunswept Entertainment
593,Halloween,255485178,159342015,62.4%,96143163,37.6%,2018,tt1502407,91361,10000000,'Thriller',en,20.23,2018-10-18,106.0,Universal Pictures
594,Get Out,255413717,176040665,68.9%,79373052,31.1%,2017,tt5052448,No Collection,4500000,'Mystery',en,29.093000000000004,2017-02-24,104.0,Monkeypaw Productions
595,Us,255184580,175084580,68.6%,80100000,31.4%,2019,tt6857112,No Collection,20000000,'Thriller',en,25.214000000000002,2019-03-14,116.0,Monkeypaw Productions
596,Cliffhanger,255000211,84049211,33%,170951000,67%,1993,tt0106582,No Collection,70000000,'Action',en,15.25,1993-05-28,112.0,RCS Video
597,Parasite,254715783,53369749,21%,201346034,79%,2019,tt6751668,No Collection,11363000,'Comedy',ko,85.671,2019-05-30,133.0,Arka Media
598,Baahubali 2: The Conclusion,254158390,20186659,7.9%,233971731,92.1%,2017,tt4849438,350309,31000000,'Action',te,8.799,2017-04-27,168.0,Universal Pictures
599,Babe,254134910,63658910,25%,190476000,75%,1995,tt0112431,9435,30000000,'Fantasy',en,10.843,1995-07-18,89.0,Amblin Entertainment
600,Men in Black: International,253890701,80001807,31.5%,173888894,68.5%,2019,tt2283336,86055,110000000,'Comedy',en,27.971999999999998,2019-06-12,115.0,Touchstone Pictures
601,Wild Hogs,253625427,168273550,66.4%,85351877,33.6%,2007,tt0486946,No Collection,0,'Action',en,15.485999999999999,2007-03-02,100.0,Walt Disney
602,High School Musical 3,252909177,90559416,35.8%,162349761,64.2%,2008,tt0962726,87253,11000000,'Comedy',en,16.708,2008-10-11,116.0,Walt Disney
603,Hercules,252712101,99112101,39.2%,153600000,60.8%,1997,tt0119282,No Collection,85000000,'Animation',en,21.458000000000002,1997-06-20,93.0,The Donners
604,X-Men: Dark Phoenix,252442974,65845974,26.1%,186597000,73.9%,2019,tt6565702,748,200000000,'Science,en,38.08,2019-06-05,114.0,Paramount
605,True Grit,252276927,171243005,67.9%,81033922,32.1%,2010,tt1403865,No Collection,38000000,'Drama',en,18.01,2010-12-22,110.0,Tiger Aspect
606,Bean,251212670,45319423,18%,205893247,82%,1997,tt0118689,103372,18000000,'Comedy',en,14.712,1997-07-03,90.0,Annapurna Pictures
607,American Hustle,251171807,150117807,59.8%,101054000,40.2%,2013,tt1800241,No Collection,40000000,'Drama',en,17.441,2013-12-12,138.0,No Such
608,Enemy of the State,250849789,111549836,44.5%,139299953,55.5%,1998,tt0120660,No Collection,90000000,'Action',en,20.129,1998-11-20,132.0,Warner Bros.
609,You've Got Mail,250821495,115821495,46.2%,135000000,53.8%,1998,tt0128853,No Collection,65000000,'Comedy',en,16.121,1998-02-26,119.0,Fox 2000
610,Eragon,250425512,75030163,30%,175395349,70%,2006,tt0449010,No Collection,100000000,'Fantasy',en,12.26,2006-12-14,104.0,Walt Disney
611,Brother Bear,250397798,85336277,34.1%,165061521,65.9%,2003,tt0328880,96472,100000000,'Adventure',en,16.111,2003-10-23,85.0,TriStar Pictures
612,The Mask of Zorro,250288523,94095523,37.6%,156193000,62.4%,1998,tt0120746,1657,95000000,'Action',en,16.262999999999998,1998-07-16,136.0,BenderSpink
613,The Ring,249348933,129128133,51.8%,120220800,48.2%,2002,tt0298130,14563,48000000,'Horror',en,12.835999999999999,2002-10-18,115.0,Haxan Films
614,The Blair Witch Project,248639099,140539099,56.5%,108100000,43.5%,1999,tt0185937,64750,60000,'Horror',en,12.235,1999-07-14,81.0,Limited Edition
615,Unbreakable,248118121,95011339,38.3%,153106782,61.7%,2000,tt0217869,No Collection,75000000,'Thriller',en,24.711,2000-11-13,106.0,Star Overseas
616,Journey to the West: The Demons Strike Back,247585244,880346,0.4%,246704898,99.6%,2017,tt5273624,456576,63300000,'Adventure',zh,5.625,2017-01-28,109.0,New Line
617,Dumb and Dumber,247275374,127175374,51.4%,120100000,48.6%,1994,tt0109686,96665,16000000,'Comedy',en,21.278000000000002,1994-12-16,107.0,Universal Pictures
618,Glass,246999039,111048468,45%,135950571,55%,2019,tt6823368,No Collection,20000000,'Thriller',en,32.195,2019-01-16,129.0,Columbia Pictures
619,Grown Ups 2,246984278,133668525,54.1%,113315753,45.9%,2013,tt2191701,180546,80000000,'Comedy',en,17.058,2013-07-11,100.0,Blue Sky
620,The Peanuts Movie,246233113,130178411,52.9%,116054702,47.1%,2015,tt2452042,No Collection,99000000,'Adventure',en,12.654000000000002,2015-11-01,88.0,Universal Pictures
621,Back to the Future Part III,246144250,88277583,35.9%,157866667,64.1%,1990,tt0099088,264,40000000,'Adventure',en,17.352999999999998,1990-05-25,118.0,Paramount
622,The Godfather,246120974,134966411,54.8%,111154563,45.2%,1972,tt0068646,230,6000000,'Drama',en,36.510999999999996,1972-03-14,175.0,Paramount Animation
623,Rango,245724603,123477607,50.2%,122246996,49.8%,2011,tt1192628,No Collection,135000000,'Animation',en,20.24,2011-03-02,107.0,PolyGram Filmed
624,Four Weddings and a Funeral,245700832,52700832,21.4%,193000000,78.6%,1994,tt0109831,No Collection,6000000,'Comedy',en,10.777000000000001,1994-03-09,117.0,Krane Entertainment
625,Face/Off,245676146,112276146,45.7%,133400000,54.3%,1997,tt0119094,No Collection,80000000,'Action',en,20.035999999999998,1997-06-27,138.0,5150 Action
626,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,33.4%,163572247,66.6%,2016,tt3949660,401562,135000000,'Action',en,22.930999999999997,2016-06-01,112.0,Tim Burton
627,Dark Shadows,245527149,79727149,32.5%,165800000,67.5%,2012,tt1077368,No Collection,150000000,'Comedy',en,17.482,2012-05-08,113.0,Marvel Enterprises
628,Hulk,245285165,132177234,53.9%,113107931,46.1%,2003,tt0286716,No Collection,137000000,'Action',en,22.322,2003-06-19,138.0,Working Title
630,Love Actually,244931766,59696144,24.4%,185235622,75.6%,2003,tt0314331,No Collection,40000000,'Comedy',en,17.84,2003-09-07,135.0,Columbia Pictures
631,Pixels,244874809,78747585,32.2%,166127224,67.8%,2015,tt2120120,No Collection,88000000,'Action',en,23.656999999999996,2015-07-16,105.0,Paramount
632,Hercules,244819862,72688614,29.7%,172131248,70.3%,2014,tt1267297,No Collection,100000000,'Action',en,21.138,2014-07-23,99.0,Roger Birnbaum
633,Rush Hour,244721064,141186864,57.7%,103534200,42.3%,1998,tt0120812,90863,33000000,'Action',en,16.548,1998-09-18,98.0,New Line
634,Journey to the Center of the Earth,244232688,101704370,41.6%,142528318,58.4%,2008,tt0373051,605516,45000000,'Action',en,12.407,2008-07-10,93.0,Columbia Pictures
635,After Earth,243611982,60522097,24.8%,183089885,75.2%,2013,tt1815862,No Collection,130000000,'Science,en,17.472,2013-05-30,100.0,David Brown
636,A Few Good Men,243240178,141340178,58.1%,101900000,41.9%,1992,tt0104257,No Collection,40000000,'Drama',en,18.627,1992-12-11,138.0,Sony Pictures
637,Cloudy with a Chance of Meatballs,243006126,124870275,51.4%,118135851,48.6%,2009,tt0844471,177467,100000000,'Animation',en,19.355999999999998,2009-09-17,90.0,Mikona Productions
638,8 Mile,242875078,116750901,48.1%,126124177,51.9%,2002,tt0298203,No Collection,41000000,'Drama',en,23.691999999999997,2002-11-08,110.0,Paramount
639,Daddy's Home,242786137,150357137,61.9%,92429000,38.1%,2015,tt1528854,473971,50000000,'Comedy',en,12.811,2015-12-25,96.0,Columbia Pictures
640,RoboCop,242688965,58607007,24.2%,184081958,75.8%,2014,tt1234721,No Collection,120000000,'Action',en,21.98,2014-01-30,102.0,Kopelson Entertainment
641,Eraser,242295562,101295562,41.8%,141000000,58.2%,1996,tt0116213,No Collection,100000000,'Action',en,14.845999999999998,1996-06-21,115.0,Scott Free
642,Alien: Covenant,240891763,74262031,30.8%,166629732,69.2%,2017,tt2316204,135416,97000000,'Horror',en,30.031999999999996,2017-05-09,122.0,Malpaso Productions
643,Sully,240797623,125070033,51.9%,115727590,48.1%,2016,tt3263904,No Collection,60000000,'Drama',en,17.262999999999998,2016-09-07,96.0,New Regency
644,Assassin's Creed,240697856,54647948,22.7%,186049908,77.3%,2016,tt2094766,No Collection,125000000,'Action',en,13.698,2016-12-21,115.0,Original Film
645,Click,240685326,137355633,57.1%,103329693,42.9%,2006,tt0389860,No Collection,82500000,'Comedy',en,16.227,2006-06-22,107.0,Gordon Company
646,Die Hard 2,240247433,117540947,48.9%,122706486,51.1%,1990,tt0099423,1570,70000000,'Action',en,28.018,1990-07-02,124.0,Screen Gems
647,Resident Evil: Retribution,240159255,42345531,17.6%,197813724,82.4%,2012,tt1855325,17255,65000000,'Action',en,1.4169999999999998,2012-09-12,95.0,Paramount
648,Crocodile Dundee II,239606210,109306210,45.6%,130300000,54.4%,1988,tt0092493,9332,0,'Adventure',en,10.777999999999999,1988-05-19,110.0,Walt Disney
649,Planes,239258712,90288712,37.7%,148970000,62.3%,2013,tt1691917,270252,50000000,'Animation',en,14.185,2013-08-09,91.0,Color Force
650,Crazy Rich Asians,238532921,174532921,73.2%,64000000,26.8%,2018,tt3104988,545955,30000000,'Comedy',en,19.629,2018-08-15,121.0,DC Comics
651,Batman & Robin,238235915,107353792,45.1%,130882123,54.9%,1997,tt0118688,120794,125000000,'Science,en,20.417,1997-06-20,125.0,Dune Entertainment
652,Gulliver's Travels,237382724,42779261,18%,194603463,82%,2010,tt1320261,No Collection,112000000,'Comedy',en,13.737,2010-12-25,85.0,Jerry Bruckheimer
653,Gone in 60 Seconds,237202299,101648571,42.8%,135553728,57.2%,2000,tt0187078,No Collection,90000000,'Action',en,19.075,2000-06-09,118.0,Robert Stigwood
654,Saturday Night Fever,237113184,94213184,39.7%,142900000,60.3%,1977,tt0076666,288280,3500000,'Drama',en,11.774000000000001,1977-12-16,118.0,The Weinstein
655,Silver Linings Playbook,236412453,132092958,55.9%,104319495,44.1%,2012,tt1045658,No Collection,21000000,'Drama',en,18.135,2012-09-08,122.0,Ardustry Entertainment
656,2 Fast 2 Furious,236350661,127154901,53.8%,109195760,46.2%,2003,tt0322259,9485,76000000,'Action',en,3.715,2003-06-05,107.0,d-rights
657,Howl's Moving Castle,236212992,5576743,2.4%,230636249,97.6%,2004,tt0347149,No Collection,24000000,'Fantasy',ja,30.26,2004-11-19,119.0,Fox 2000
658,Hidden Figures,235956898,169607287,71.9%,66349611,28.1%,2016,tt4846340,No Collection,25000000,'Drama',en,32.247,2016-12-10,127.0,Amblin Entertainment
659,A.I. Artificial Intelligence,235926552,78616689,33.3%,157309863,66.7%,2001,tt0212720,No Collection,100000000,'Drama',en,18.779,2001-06-29,146.0,Touchstone Pictures
660,Dead Poets Society,235860116,95860116,40.6%,140000000,59.4%,1988,tt0097165,No Collection,16400000,'Drama',en,22.246,1989-06-02,128.0,Chernin Entertainment
661,Spy,235666219,110825712,47%,124840507,53%,2015,tt3079380,No Collection,65000000,'Action',en,21.539,2015-05-06,120.0,Summit Entertainment
662,American Pie,235483004,102561004,43.6%,132922000,56.4%,1999,tt0163651,2806,11000000,'Comedy',en,25.855,1999-07-09,95.0,Universal Pictures
663,American Reunion,234989584,57011521,24.3%,177978063,75.7%,2012,tt1605630,2806,50000000,'Comedy',en,16.504,2012-04-04,113.0,Columbia Pictures
664,Big Daddy,234801895,163479795,69.6%,71322100,30.4%,1999,tt0142342,No Collection,34200000,'Comedy',en,16.215999999999998,1999-06-25,93.0,TSG Entertainment
665,Alvin and the Chipmunks: The Road Chip,234798636,85886987,36.6%,148911649,63.4%,2015,tt2974918,167613,0,'Adventure',en,13.218,2015-12-17,92.0,Bristol Automotive
666,The Imitation Game,233555708,91125683,39%,142430025,61%,2014,tt2084970,No Collection,14000000,'History',en,38.328,2014-11-14,113.0,Dune Entertainment
667,The Day the Earth Stood Still,233093859,79366978,34%,153726881,66%,2008,tt0970416,No Collection,80000000,'Drama',en,24.484,2008-12-10,104.0,Loumolo &
668,American Wedding,232722935,104565114,44.9%,128157821,55.1%,2003,tt0328828,2806,55000000,'Comedy',en,22.639,2003-08-01,103.0,Ground Control
669,The Girl with the Dragon Tattoo,232617430,102515793,44.1%,130101637,55.9%,2011,tt1568346,575987,90000000,'Thriller',en,21.618000000000002,2011-12-14,158.0,Mandate Pictures
670,Juno,232372681,143495265,61.8%,88877416,38.2%,2007,tt0467406,No Collection,7500000,'Comedy',en,16.512999999999998,2007-12-05,96.0,GK Films
671,Argo,232325503,136025503,58.6%,96300000,41.4%,2012,tt1024648,No Collection,44500000,'Drama',en,16.71,2012-10-11,120.0,Tiger Aspect
672,Mr. Bean's Holiday,232225908,33302167,14.3%,198923741,85.7%,2007,tt0453451,103372,25000000,'Family',en,12.485999999999999,2007-03-22,90.0,CJ Entertainment
673,The English Patient,231976425,78676425,33.9%,153300000,66.1%,1996,tt0116209,No Collection,27000000,'Drama',en,12.689,1996-11-05,162.0,Miramax
674,Sister Act,231605150,139605150,60.3%,92000000,39.7%,1992,tt0105417,103573,31000000,'Music',en,13.962,1992-05-28,100.0,Touchstone Pictures
675,Annabelle Comes Home,231252591,74152591,32.1%,157100000,67.9%,2019,tt8350360,402074,0,'Horror',en,21.391,2019-06-26,106.0,Atomic Monster
676,Constantine,230884728,75976178,32.9%,154908550,67.1%,2005,tt0360486,No Collection,100000000,'Drama',en,16.924,2005-02-08,121.0,Village Roadshow
677,Get Smart,230685453,130319208,56.5%,100366245,43.5%,2008,tt0425061,No Collection,80000000,'Action',en,14.831,2008-06-19,110.0,WV Films
678,Space Jam,230418342,90418342,39.2%,140000000,60.8%,1996,tt0117705,No Collection,80000000,'Animation',en,17.035999999999998,1996-11-15,88.0,Courtside Seats
679,Life Is Beautiful,230098753,57563264,25%,172535489,75%,1998,tt0118799,No Collection,20000000,'Comedy',it,25.021,1997-12-20,116.0,Melampo Cinematografica
680,The Heat,229930771,159582188,69.4%,70348583,30.6%,2013,tt2404463,No Collection,43000000,'Action',en,17.049,2013-06-27,117.0,Chernin Entertainment
681,Ghostbusters,229147509,128350574,56%,100796935,44%,2016,tt1289401,No Collection,144000000,'Action',en,34.103,2016-07-14,116.0,Ghostcorps
682,Ghost Rider,228738393,115802596,50.6%,112935797,49.4%,2007,tt0259324,90306,110000000,'Thriller',en,21.625,2007-02-16,114.0,Crystal Sky
683,Goodbye Mr. Loser,228122928,1293626,0.6%,226829302,99.4%,2015,tt5061814,No Collection,0,'Romance',zh,3.0810000000000004,2015-09-30,104.0,Beijing Mahua
684,Paddington 2,227978523,40891591,17.9%,187086932,82.1%,2017,tt4468740,488924,40000000,'Adventure',en,14.548,2017-11-09,104.0,Heyday Films
685,Sleepless in Seattle,227927165,126808165,55.6%,101119000,44.4%,1993,tt0108160,No Collection,21000000,'Comedy',en,14.384,1993-06-24,105.0,TriStar Pictures
686,Lethal Weapon 2,227853986,147253986,64.6%,80600000,35.4%,1989,tt0097733,945,25000000,'Action',en,12.14,1989-07-07,114.0,Silver Pictures
687,The Green Hornet,227817248,98780042,43.4%,129037206,56.6%,2011,tt0990407,No Collection,120000000,'Action',en,12.628,2011-01-12,119.0,Original Film
